System Info:
Linux kali 6.12.25-amd64 #1 SMP PREEMPT_DYNAMIC Kali 6.12.25-1kali1 (2025-04-30) x86_64 GNU/Linux
User:
luci
Processes:
USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.2  24660 15440 ?        Ss   02:30   0:27 /usr/lib/systemd/systemd --system --deserialize=59 splash
luci        3587  0.0  0.1  10324  7116 ?        Ss   02:32   0:17 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
luci        3588  0.2  0.2 103100 13888 ?        S<sl 02:32   1:10 /usr/bin/pipewire
luci        3590  0.0  0.0  84744  5268 ?        Ssl  02:32   0:00 /usr/bin/pipewire -c filter-chain.conf
luci        3591  0.0  0.2 480248 18512 ?        S<sl 02:32   0:03 /usr/bin/wireplumber
luci        3593  0.0  0.2 175808 15064 ?        S<sl 02:32   0:01 /usr/bin/pipewire-pulse
luci        3596  0.0  0.1 183140 10068 ?        SLsl 02:32   0:01 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
luci        3597  0.0  0.0   7224  3488 ?        Ss   02:32   0:00 /usr/bin/mpris-proxy
luci        3635  0.0  0.0 169396  6316 tty2     Ssl+ 02:32   0:00 /usr/libexec/gdm-x-session --run-script /usr/bin/gnome-session
luci        3638  1.8  2.2 419052 141912 tty2    Sl+  02:32   9:47 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -nolisten tcp -background none -noreset -keeptty -novtswitch -verbose 3
luci        3649  0.0  0.2 268392 14804 tty2     Sl+  02:32   0:00 /usr/libexec/gnome-session-binary
luci        3733  0.0  0.1 381168  7516 ?        Ssl  02:32   0:00 /usr/libexec/at-spi-bus-launcher
luci        3740  0.0  0.0   8592  4848 ?        S    02:32   0:01 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_1
luci        3765  0.0  0.1  97300  7068 ?        Ssl  02:32   0:00 /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
luci        3766  0.0  0.0  87244  5276 ?        Ssl  02:32   0:00 /usr/libexec/gnome-session-ctl --monitor
luci        3767  0.0  0.1  10928  7040 ?        Ss   02:32   0:00 /usr/bin/ssh-agent -D
luci        3779  0.0  0.1 312736  8056 ?        Ssl  02:32   0:00 /usr/libexec/gvfsd
luci        3785  0.0  0.1 398368  7128 ?        Sl   02:32   0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
luci        3788  0.0  0.2 695360 16256 ?        Ssl  02:32   0:02 /usr/libexec/gnome-session-binary --systemd-service --session=gnome
luci        3823  8.3 11.4 5297084 731656 ?      Ssl  02:32  43:15 /usr/bin/gnome-shell
